Primes used: [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73, 79, 83, 89, 97] 

           name | bitlen | sorted complement bit lengths (trimmed to 25 highest)
     prime256v1 |    256 | [ 1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   6,   6,   8]
      secp256r1 |    256 | [ 1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   6,   6,   8]
        Fp256BN |    256 | [ 1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   4,   4,   5,   5,   7,   8]
      secp256k1 |    256 | [ 1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2,   2,   2,   2,   2,   3,   3,   3,   3,   3,   7,   8]
          K-283 |    281 | Not computed
      sect283k1 |    281 | Not computed
          B-283 |    282 | Not computed
      sect283r1 |    282 | Not computed
          bn286 |    286 | Not computed
      BLS12-446 |    299 | Not computed
      BLS12-455 |    305 | Not computed
          bn318 |    318 | Not computed
brainpoolP320r1 |    320 | Not computed
brainpoolP320t1 |    320 | Not computed
          bn350 |    350 | Not computed
     Curve67254 |    380 | Not computed
          M-383 |    381 | Not computed
          bn382 |    382 | Not computed
      BLS24-477 |    383 | Not computed
brainpoolP384r1 |    384 | Not computed
brainpoolP384t1 |    384 | Not computed
        Fp384BN |    384 | Not computed
          P-384 |    384 | Not computed
      secp384r1 |    384 | Not computed
          K-409 |    407 | Not computed
      sect409k1 |    407 | Not computed
          B-409 |    409 | Not computed
      sect409r1 |    409 | Not computed
          bn414 |    414 | Not computed
      BLS12-638 |    427 | Not computed
          bn446 |    446 | Not computed
          Ed448 |    446 | Not computed
          bn478 |    478 | Not computed
          M-511 |    509 | Not computed
          bn510 |    510 | Not computed
        gost512 |    511 | Not computed
brainpoolP512r1 |    512 | Not computed
brainpoolP512t1 |    512 | Not computed
        Fp512BN |    512 | Not computed
          P-521 |    521 | Not computed
      secp521r1 |    521 | Not computed
          bn542 |    542 | Not computed
          K-571 |    570 | Not computed
      sect571k1 |    570 | Not computed
          B-571 |    570 | Not computed
      sect571r1 |    570 | Not computed
          bn574 |    574 | Not computed
          bn606 |    606 | Not computed
          bn638 |    638 | Not computed
